Date,Open,High,Low,Close,Volume,Adj Close
2014-06-23,73.00,73.70,72.50,73.52,69300,72.78
2014-06-20,73.59,73.60,73.00,73.08,84000,72.35
2014-06-19,73.60,73.66,72.90,73.10,34600,72.37
2014-06-18,73.37,73.64,72.82,73.52,34400,72.78
2014-06-17,72.79,74.10,72.79,73.10,62800,72.37
2014-06-16,73.00,73.11,72.60,73.00,64000,72.27
2014-06-13,73.40,73.40,72.54,72.95,70800,72.22
2014-06-12,73.00,73.40,72.80,73.00,51800,72.27
2014-06-11,72.56,73.16,72.38,73.01,71900,72.28
2014-06-10,73.14,73.64,72.73,73.15,28600,72.42
2014-06-09,72.66,73.71,72.18,73.62,43200,72.88
2014-06-06,73.60,73.98,72.41,72.96,51900,72.23
2014-06-05,71.10,73.18,70.27,73.05,42800,72.32
2014-06-04,70.88,71.53,70.49,70.74,43900,70.03
2014-06-03,71.00,71.89,70.33,71.17,52200,70.21
2014-06-02,71.00,71.40,70.68,71.00,55000,70.04
2014-05-30,70.72,71.26,70.30,70.73,62600,69.78
2014-05-29,70.36,70.54,70.02,70.39,32600,69.44
2014-05-28,70.69,70.69,69.19,70.18,36500,69.23
2014-05-27,69.22,70.74,69.22,70.52,28300,69.57
2014-05-23,68.99,69.54,68.50,69.24,28900,68.31
2014-05-22,68.57,69.30,67.62,68.76,42900,67.83
2014-05-21,68.34,68.96,67.19,68.59,59300,67.67
2014-05-20,68.13,68.24,66.92,67.89,72200,66.97
2014-05-19,67.60,68.63,67.60,68.10,31500,67.18
2014-05-16,66.54,68.50,66.12,67.99,48600,67.07
2014-05-15,66.74,67.03,64.81,66.72,43000,65.82
2014-05-14,69.71,69.71,66.93,67.28,58900,66.37
2014-05-13,71.65,71.65,69.69,69.83,58400,68.89
2014-05-12,70.30,72.32,70.11,71.52,67400,70.56
2014-05-09,68.66,70.49,68.36,70.47,56000,69.52
2014-05-08,69.59,70.88,68.67,69.06,35700,68.13
2014-05-07,69.69,70.03,68.36,69.55,34600,68.61
2014-05-06,69.93,70.80,69.29,69.34,69500,68.41
2014-05-05,70.33,71.00,69.63,70.47,42400,69.52
2014-05-02,69.05,71.50,69.03,70.67,52600,69.72
2014-05-01,70.09,70.22,67.90,69.13,63600,68.20
2014-04-30,69.05,70.52,68.01,70.42,44900,69.47
2014-04-29,70.01,70.47,69.07,69.15,35600,68.22
2014-04-28,70.02,70.84,68.85,69.89,42700,68.95
2014-04-25,69.97,70.55,69.29,69.95,45900,69.01
2014-04-24,73.29,73.29,69.06,70.69,68500,69.74
2014-04-23,72.35,73.81,72.08,72.41,37000,71.43
2014-04-22,68.49,73.99,68.49,72.86,29500,71.88
2014-04-21,73.07,73.27,72.36,73.07,23100,72.08
2014-04-17,72.33,73.47,72.27,73.03,23700,72.05
2014-04-16,71.34,72.95,70.82,72.33,37400,71.35
2014-04-15,70.12,71.14,69.37,70.76,35200,69.81
2014-04-14,70.57,71.29,69.98,70.29,36100,69.34
2014-04-11,70.25,71.32,69.42,70.16,51600,69.21
2014-04-10,72.72,73.12,70.64,71.01,50700,70.05
2014-04-09,73.25,73.25,71.73,73.00,78900,72.02
2014-04-08,72.24,73.40,71.53,72.72,94200,71.74
2014-04-07,72.09,72.90,71.28,71.94,65500,70.97
2014-04-04,75.55,75.69,72.34,72.66,71300,71.68
2014-04-03,76.05,76.42,74.78,75.58,23100,74.56
2014-04-02,76.21,76.29,75.11,76.10,25200,75.07
2014-04-01,74.84,76.43,74.84,75.93,51900,74.91
2014-03-31,73.91,75.34,73.91,75.06,42800,74.05
2014-03-28,74.05,74.99,73.52,73.78,33600,72.79
2014-03-27,73.58,74.44,72.46,74.33,41100,73.33
2014-03-26,75.73,76.41,72.99,73.25,37700,72.26
2014-03-25,75.48,75.91,74.22,75.03,27600,74.02
2014-03-24,75.16,75.80,73.82,74.79,36400,73.78
2014-03-21,74.98,76.70,74.36,75.28,81100,74.27
2014-03-20,74.48,75.15,73.88,74.45,19300,73.45
2014-03-19,75.75,75.75,74.11,74.76,16300,73.75
2014-03-18,75.31,76.39,75.15,75.50,53900,74.48
2014-03-17,74.83,76.17,74.64,75.52,23100,74.50
2014-03-14,73.88,75.15,72.88,74.76,36600,73.75
2014-03-13,74.75,74.75,72.67,73.95,43000,72.95
2014-03-12,74.82,75.20,73.99,74.25,31500,73.25
2014-03-11,74.60,75.70,73.81,75.22,39600,74.21
2014-03-10,75.75,76.40,73.80,75.52,40200,74.50
2014-03-07,76.51,76.84,74.75,75.96,51500,74.94
2014-03-06,74.98,76.37,73.99,75.83,53300,74.81
2014-03-05,75.50,75.50,73.61,74.21,66100,73.21
2014-03-04,72.65,76.43,72.24,75.63,91600,74.36
2014-03-03,70.67,72.05,69.92,71.85,49700,70.65
2014-02-28,70.87,71.44,69.52,71.24,54300,70.05
2014-02-27,70.60,71.31,70.41,70.82,47700,69.63
2014-02-26,71.17,72.15,70.62,71.02,29300,69.83
2014-02-25,71.95,72.35,70.76,70.92,24500,69.73
2014-02-24,72.13,72.90,71.67,71.82,46400,70.62
2014-02-21,72.40,72.40,71.63,72.15,58400,70.94
2014-02-20,71.10,72.97,70.57,72.38,26200,71.17
2014-02-19,72.25,72.96,70.98,71.36,56900,70.17
2014-02-18,71.25,73.12,71.25,72.74,30300,71.52
2014-02-14,71.61,71.65,70.27,71.26,43600,70.07
2014-02-13,70.35,71.92,70.15,71.73,24700,70.53
2014-02-12,70.63,71.75,70.38,70.63,32400,69.45
2014-02-11,72.65,72.65,70.25,70.76,24100,69.58
2014-02-10,70.52,71.33,69.90,71.03,47500,69.84
2014-02-07,70.28,71.21,69.49,70.80,64800,69.61
2014-02-06,69.43,71.24,65.71,69.90,108900,68.73
2014-02-05,69.64,70.24,68.06,68.32,41200,67.18
2014-02-04,70.54,70.74,69.56,69.88,39600,68.71
2014-02-03,72.25,72.69,69.52,70.39,56500,69.21
2014-01-31,73.23,74.08,71.48,72.22,43800,71.01
2014-01-30,72.83,75.65,72.16,74.74,48500,73.49
2014-01-29,73.80,73.80,71.23,72.40,43700,71.19
2014-01-28,73.31,73.72,72.21,73.50,35900,72.27
2014-01-27,74.79,75.28,73.22,73.22,23900,71.99
2014-01-24,76.56,77.07,73.70,74.95,47700,73.70
2014-01-23,75.94,77.35,75.50,77.24,36500,75.95
2014-01-22,75.98,76.84,75.80,76.07,17800,74.80
2014-01-21,75.67,76.37,74.99,76.14,18500,74.87
2014-01-17,76.20,76.50,75.05,75.09,19400,73.83
2014-01-16,76.26,76.79,75.57,76.49,20400,75.21
2014-01-15,76.28,76.68,75.77,76.23,25800,74.95
2014-01-14,75.20,77.20,74.28,75.91,29100,74.64
2014-01-13,75.18,75.35,74.38,74.89,41800,73.64
2014-01-10,75.62,75.84,74.68,75.70,23100,74.43
2014-01-09,75.67,75.67,74.09,75.54,33200,74.28
2014-01-08,76.65,76.65,74.15,75.43,57000,74.17
2014-01-07,77.00,77.89,76.26,76.43,30100,75.15
2014-01-06,77.52,77.73,76.21,76.80,56200,75.51
2014-01-03,76.65,77.79,76.16,77.38,39400,76.08
2014-01-02,77.36,77.36,75.48,76.43,36500,75.15
