Date,Open,High,Low,Close,Volume,Adj Close
2014-09-24,3.00,3.10,2.94,3.00,21100,3.00
2014-09-23,2.96,3.04,2.93,3.02,18300,3.02
2014-09-22,2.94,3.08,2.94,2.99,39400,2.99
2014-09-19,3.06,3.08,2.90,2.90,40100,2.90
2014-09-18,3.08,3.13,3.04,3.07,17900,3.07
2014-09-17,2.97,3.15,2.97,3.09,23500,3.09
2014-09-16,3.07,3.09,3.00,3.01,53600,3.01
2014-09-15,3.08,3.11,2.96,3.06,68800,3.06
2014-09-12,3.15,3.16,3.03,3.08,69900,3.08
2014-09-11,3.20,3.59,2.96,3.18,534700,3.18
2014-09-10,3.12,3.20,3.08,3.11,14400,3.11
2014-09-09,3.17,3.24,3.08,3.12,61900,3.12
2014-09-08,3.13,3.25,3.11,3.17,71300,3.17
2014-09-05,3.09,3.19,3.03,3.13,14300,3.13
2014-09-04,3.34,3.34,3.12,3.16,95800,3.16
2014-09-03,2.95,3.55,2.86,3.29,357300,3.29
2014-09-02,2.90,2.96,2.79,2.96,51000,2.96
2014-08-29,2.92,2.96,2.87,2.92,46000,2.92
2014-08-28,2.93,2.97,2.91,2.94,47700,2.94
2014-08-27,3.07,3.07,2.90,2.97,40400,2.97
2014-08-26,3.14,3.18,3.00,3.04,158000,3.04
2014-08-25,3.00,3.17,3.00,3.13,117500,3.13
2014-08-22,2.98,3.04,2.91,3.00,38300,3.00
2014-08-21,2.92,2.98,2.82,2.98,46000,2.98
2014-08-20,2.91,2.98,2.89,2.92,55900,2.92
2014-08-19,2.89,2.97,2.89,2.94,30300,2.94
2014-08-18,2.91,2.92,2.87,2.90,20900,2.90
2014-08-15,2.95,3.04,2.89,2.93,26900,2.93
2014-08-14,2.96,3.00,2.90,2.93,22500,2.93
2014-08-13,2.97,3.04,2.94,2.95,22800,2.95
2014-08-12,3.00,3.02,2.90,2.97,36200,2.97
2014-08-11,3.09,3.12,2.94,3.01,128400,3.01
2014-08-08,2.85,3.20,2.85,3.08,342300,3.08
2014-08-07,2.83,2.87,2.83,2.83,46500,2.83
2014-08-06,2.76,2.85,2.70,2.83,24500,2.83
2014-08-05,2.84,2.90,2.66,2.76,69900,2.76
2014-08-04,2.84,2.87,2.83,2.87,7200,2.87
2014-08-01,2.82,2.88,2.79,2.86,21500,2.86
2014-07-31,2.90,2.94,2.82,2.85,102700,2.85
2014-07-30,2.93,2.96,2.90,2.92,47900,2.92
2014-07-29,2.96,2.99,2.92,2.93,22300,2.93
2014-07-28,2.93,3.02,2.93,2.99,18800,2.99
2014-07-25,3.01,3.02,2.93,2.95,18300,2.95
2014-07-24,3.12,3.17,3.00,3.03,45800,3.03
2014-07-23,3.07,3.23,3.05,3.08,142800,3.08
2014-07-22,3.00,3.11,2.98,3.06,60400,3.06
2014-07-21,2.96,3.05,2.92,2.97,42700,2.97
2014-07-18,2.90,3.01,2.88,2.96,47500,2.96
2014-07-17,2.97,3.00,2.87,2.94,60100,2.94
2014-07-16,3.01,3.06,3.00,3.01,22900,3.01
2014-07-15,3.10,3.10,2.96,3.01,33700,3.01
2014-07-14,3.08,3.13,3.02,3.09,45800,3.09
2014-07-11,2.97,3.08,2.97,3.03,19800,3.03
2014-07-10,3.05,3.05,2.94,2.99,48200,2.99
2014-07-09,2.96,3.07,2.88,3.06,36800,3.06
2014-07-08,3.01,3.01,2.87,2.91,96100,2.91
2014-07-07,3.07,3.11,3.00,3.02,93400,3.02
2014-07-03,3.08,3.14,3.07,3.08,33900,3.08
2014-07-02,3.12,3.18,3.07,3.07,43600,3.07
2014-07-01,3.23,3.23,3.12,3.15,29600,3.15
2014-06-30,3.28,3.28,3.12,3.18,59800,3.18
2014-06-27,3.22,3.30,3.17,3.28,139000,3.28
2014-06-26,3.15,3.33,3.14,3.24,100600,3.24
2014-06-25,3.12,3.21,2.98,3.14,153700,3.14
2014-06-24,3.32,3.34,3.08,3.13,75100,3.13
2014-06-23,3.33,3.35,3.20,3.33,53800,3.33
2014-06-20,3.25,3.35,3.16,3.29,108800,3.29
2014-06-19,3.15,3.20,3.12,3.20,139400,3.20
2014-06-18,3.12,3.12,3.01,3.12,81500,3.12
2014-06-17,2.93,3.10,2.92,3.08,324100,3.08
2014-06-16,2.81,2.95,2.81,2.89,83100,2.89
2014-06-13,2.79,2.89,2.77,2.85,76100,2.85
2014-06-12,2.81,2.92,2.77,2.83,112000,2.83
2014-06-11,2.99,2.99,2.80,2.81,353300,2.81
2014-06-10,3.04,3.05,2.93,3.04,66400,3.04
2014-06-09,3.01,3.08,2.95,2.98,141900,2.98
2014-06-06,3.11,3.11,2.90,3.01,160900,3.01
2014-06-05,3.10,3.26,3.07,3.08,158100,3.08
2014-06-04,3.09,3.32,2.98,3.14,360600,3.14
2014-06-03,2.79,3.23,2.62,3.09,822500,3.09
2014-06-02,2.92,2.92,2.72,2.78,301500,2.78
2014-05-30,3.30,3.39,2.85,2.92,1397500,2.92
2014-05-29,3.05,4.59,2.89,3.16,9903100,3.16
2014-05-28,2.24,2.28,2.18,2.24,51200,2.24
2014-05-27,2.33,2.34,2.24,2.26,72500,2.26
2014-05-23,2.40,2.44,2.34,2.34,24300,2.34
2014-05-22,2.40,2.41,2.32,2.36,62000,2.36
2014-05-21,2.60,2.60,2.41,2.44,63400,2.44
2014-05-20,2.52,2.62,2.46,2.60,52400,2.60
2014-05-19,2.41,2.60,2.40,2.56,102500,2.56
2014-05-16,2.32,2.41,2.25,2.41,70800,2.41
2014-05-15,2.20,2.31,2.02,2.31,216900,2.31
2014-05-14,2.27,2.32,2.25,2.31,41100,2.31
2014-05-13,2.23,2.30,2.21,2.27,23400,2.27
2014-05-12,2.31,2.32,2.23,2.25,39400,2.25
2014-05-09,2.22,2.29,2.20,2.29,30700,2.29
2014-05-08,2.27,2.39,2.22,2.22,58100,2.22
2014-05-07,2.39,2.39,2.25,2.30,47800,2.30
2014-05-06,2.54,2.55,2.36,2.38,48300,2.38
2014-05-05,2.45,2.55,2.37,2.54,58300,2.54
2014-05-02,2.22,2.50,2.22,2.47,123900,2.47
2014-05-01,2.10,2.24,2.07,2.21,108600,2.21
2014-04-30,2.04,2.12,2.04,2.12,50400,2.12
2014-04-29,2.24,2.24,2.01,2.08,165600,2.08
2014-04-28,2.56,2.56,2.16,2.24,175100,2.24
2014-04-25,2.57,2.61,2.51,2.52,100000,2.52
2014-04-24,2.69,2.70,2.56,2.56,38000,2.56
2014-04-23,2.65,2.70,2.62,2.68,26800,2.68
2014-04-22,2.63,2.73,2.58,2.68,51800,2.68
2014-04-21,2.63,2.74,2.60,2.69,55800,2.69
2014-04-17,2.59,2.73,2.59,2.64,99200,2.64
2014-04-16,2.66,2.73,2.60,2.63,44000,2.63
2014-04-15,2.70,2.70,2.55,2.62,103700,2.62
2014-04-14,2.62,2.76,2.61,2.72,54700,2.72
2014-04-11,2.69,2.77,2.60,2.60,44600,2.60
2014-04-10,2.83,2.87,2.67,2.71,57500,2.71
2014-04-09,2.68,2.92,2.66,2.82,133500,2.82
2014-04-08,2.55,2.68,2.51,2.63,53900,2.63
2014-04-07,2.68,2.75,2.51,2.56,279400,2.56
2014-04-04,2.75,2.97,2.70,2.73,369700,2.73
2014-04-03,2.56,2.75,2.45,2.70,244500,2.70
2014-04-02,2.40,2.65,2.40,2.56,204300,2.56
2014-04-01,2.34,2.40,2.32,2.38,34500,2.38
2014-03-31,2.43,2.43,2.28,2.35,32200,2.35
2014-03-28,2.33,2.43,2.26,2.42,89200,2.42
2014-03-27,2.41,2.41,2.27,2.28,99000,2.28
2014-03-26,2.34,2.45,2.32,2.41,101300,2.41
2014-03-25,2.27,2.38,2.26,2.34,119300,2.34
2014-03-24,2.18,2.36,2.18,2.26,148600,2.26
2014-03-21,2.26,2.26,2.17,2.18,63600,2.18
2014-03-20,2.28,2.40,2.26,2.26,64000,2.26
2014-03-19,2.29,2.42,2.26,2.29,60200,2.29
2014-03-18,2.21,2.41,2.15,2.41,210000,2.41
2014-03-17,2.25,2.34,2.15,2.31,84300,2.31
2014-03-14,2.17,2.25,2.17,2.20,66500,2.20
2014-03-13,2.38,2.38,2.20,2.25,109200,2.25
2014-03-12,2.25,2.55,2.17,2.37,183200,2.37
2014-03-11,2.34,2.45,2.15,2.23,428100,2.23
2014-03-10,2.53,2.55,2.43,2.47,147500,2.47
2014-03-07,2.53,2.63,2.51,2.57,110600,2.57
2014-03-06,2.64,2.64,2.53,2.54,134600,2.54
2014-03-05,2.55,2.68,2.55,2.64,71600,2.64
2014-03-04,2.61,2.71,2.51,2.56,198100,2.56
2014-03-03,2.59,2.63,2.50,2.57,113300,2.57
2014-02-28,2.62,2.76,2.60,2.67,257000,2.67
2014-02-27,2.60,2.70,2.52,2.64,193900,2.64
2014-02-26,2.62,2.85,2.59,2.64,328600,2.64
2014-02-25,2.84,2.84,2.44,2.56,501100,2.56
2014-02-24,2.76,2.92,2.65,2.84,304400,2.84
2014-02-21,2.77,2.78,2.65,2.70,186200,2.70
2014-02-20,2.74,2.81,2.59,2.79,201700,2.79
2014-02-19,2.89,2.98,2.70,2.73,292400,2.73
2014-02-18,2.65,2.94,2.34,2.94,1414600,2.94
2014-02-14,3.23,3.24,3.05,3.07,258100,3.07
2014-02-13,3.09,3.21,3.04,3.20,152300,3.20
2014-02-12,3.09,3.24,3.05,3.09,113500,3.09
2014-02-11,3.15,3.19,3.05,3.08,175700,3.08
2014-02-10,3.21,3.35,3.12,3.16,197400,3.16
2014-02-07,3.30,3.45,3.17,3.21,298800,3.21
2014-02-06,3.02,3.31,3.02,3.26,296700,3.26
2014-02-05,3.18,3.25,2.96,3.04,356100,3.04
2014-02-04,3.25,3.28,3.11,3.19,167700,3.19
2014-02-03,3.31,3.39,3.15,3.23,381900,3.23
2014-01-31,3.35,3.46,3.30,3.35,251600,3.35
2014-01-30,3.63,3.73,3.30,3.50,815800,3.50
2014-01-29,3.13,4.05,3.13,3.67,2963600,3.67
2014-01-28,2.95,3.07,2.85,2.92,227000,2.92
2014-01-27,3.16,3.29,2.62,3.01,791400,3.01
2014-01-24,3.72,3.77,3.20,3.27,622600,3.27
2014-01-23,3.76,3.85,3.63,3.71,205900,3.71
2014-01-22,3.76,3.97,3.55,3.76,354500,3.76
2014-01-21,3.72,3.78,3.59,3.74,290600,3.74
2014-01-17,3.81,3.93,3.61,3.70,692100,3.70
2014-01-16,3.67,3.86,3.32,3.81,817500,3.81
2014-01-15,3.02,3.70,3.02,3.58,1589100,3.58
2014-01-14,2.84,3.01,2.81,2.99,240900,2.99
2014-01-13,2.89,3.00,2.70,2.78,351500,2.78
2014-01-10,3.09,3.11,2.90,2.92,219500,2.92
2014-01-09,3.15,3.20,2.95,3.03,316000,3.03
2014-01-08,2.91,3.25,2.88,3.12,572500,3.12
2014-01-07,2.86,2.94,2.75,2.92,287200,2.92
2014-01-06,2.69,3.00,2.65,2.95,528400,2.95
2014-01-03,2.63,2.72,2.46,2.63,260500,2.63
2014-01-02,2.83,2.87,2.60,2.65,302200,2.65
