Date,Open,High,Low,Close,Volume,Adj Close
2014-08-13,7.77,7.77,7.77,7.77,000,7.77
2014-08-12,7.77,7.77,7.77,7.77,000,7.77
2014-08-11,7.77,7.77,7.77,7.77,000,7.77
2014-08-08,7.77,7.77,7.77,7.77,000,7.77
2014-08-07,7.77,7.77,7.77,7.77,000,7.77
2014-08-06,7.77,7.77,7.77,7.77,000,7.77
2014-08-05,7.77,7.77,7.77,7.77,000,7.77
2014-08-04,7.77,7.77,7.77,7.77,000,7.77
2014-08-01,7.77,7.77,7.77,7.77,000,7.77
2014-07-31,7.77,7.77,7.77,7.77,000,7.77
2014-07-30,7.83,7.83,7.77,7.77,1200,7.77
2014-07-29,7.86,7.90,7.75,7.90,500,7.90
2014-07-28,7.78,7.78,7.78,7.78,000,7.78
2014-07-25,7.78,7.78,7.78,7.78,000,7.78
2014-07-24,7.78,7.78,7.78,7.78,000,7.78
2014-07-23,7.78,7.78,7.78,7.78,000,7.78
2014-07-22,7.78,7.78,7.78,7.78,000,7.78
2014-07-21,7.78,7.78,7.78,7.78,000,7.78
2014-07-18,7.78,7.78,7.78,7.78,000,7.78
2014-07-17,7.78,7.78,7.78,7.78,000,7.78
2014-07-16,7.78,7.78,7.78,7.78,100,7.78
2014-07-15,8.52,8.52,8.52,8.52,300,8.52
2014-07-14,8.30,8.30,8.30,8.30,000,8.30
2014-07-11,8.30,8.30,8.30,8.30,000,8.30
2014-07-10,8.33,8.36,8.30,8.30,1200,8.30
2014-07-09,8.51,8.52,8.50,8.50,700,8.50
2014-07-08,8.31,8.91,8.28,8.66,2500,8.66
2014-07-07,7.00,9.55,7.00,9.03,2000,9.03
2014-07-03,7.81,7.81,7.79,7.79,1000,7.79
2014-07-02,8.20,8.20,8.14,8.14,2800,8.14
2014-07-01,8.15,8.15,8.15,8.15,300,8.15
2014-06-30,8.05,8.05,8.05,8.05,100,8.05
2014-06-27,7.93,8.00,7.93,8.00,800,8.00
2014-06-26,8.00,8.00,8.00,8.00,300,8.00
2014-06-25,8.04,8.04,7.81,7.81,3400,7.81
2014-06-24,8.35,8.35,8.04,8.04,1300,8.04
2014-06-23,8.59,8.59,8.55,8.55,800,8.55
2014-06-20,8.55,8.55,8.51,8.51,1100,8.51
2014-06-19,8.90,8.90,8.90,8.90,000,8.90
2014-06-18,8.90,8.90,8.90,8.90,000,8.90
2014-06-17,8.90,8.90,8.90,8.90,000,8.90
2014-06-16,8.90,8.90,8.90,8.90,300,8.90
2014-06-13,9.09,9.09,9.09,9.09,000,9.09
2014-06-12,9.09,9.09,9.09,9.09,000,9.09
2014-06-11,9.09,9.09,9.09,9.09,000,9.09
2014-06-10,9.09,9.09,9.09,9.09,000,9.09
2014-06-09,9.09,9.09,9.09,9.09,100,9.09
2014-06-06,9.11,9.11,9.11,9.11,000,9.11
2014-06-05,9.11,9.11,9.11,9.11,000,9.11
2014-06-04,9.11,9.11,9.11,9.11,000,9.11
2014-06-03,9.11,9.11,9.10,9.11,2000,9.11
2014-06-02,8.85,9.17,8.85,9.11,1600,9.11
2014-05-30,8.85,8.85,8.85,8.85,000,8.85
2014-05-29,8.85,8.85,8.85,8.85,100,8.85
2014-05-28,8.85,8.85,8.85,8.85,000,8.85
2014-05-27,8.85,8.85,8.85,8.85,000,8.85
2014-05-23,8.85,8.85,8.85,8.85,000,8.85
2014-05-22,9.75,9.75,8.85,8.85,500,8.85
2014-05-21,9.81,9.81,9.81,9.81,000,9.81
2014-05-20,9.81,9.81,9.81,9.81,000,9.81
2014-05-19,9.81,9.81,9.81,9.81,000,9.81
2014-05-16,9.81,9.81,9.81,9.81,000,9.81
2014-05-15,9.81,9.81,9.81,9.81,000,9.81
2014-05-14,9.81,9.81,9.81,9.81,000,9.81
2014-05-13,9.81,9.81,9.81,9.81,000,9.81
2014-05-12,9.81,9.81,9.81,9.81,200,9.81
2014-05-09,9.79,9.79,9.75,9.75,1000,9.75
2014-05-08,9.75,9.75,9.75,9.75,000,9.75
2014-05-07,9.75,9.75,9.75,9.75,000,9.75
2014-05-06,9.75,9.75,9.75,9.75,400,9.75
2014-05-05,9.85,9.85,9.85,9.85,000,9.85
2014-05-02,9.80,9.85,9.80,9.85,700,9.85
2014-05-01,10.00,10.00,10.00,10.00,000,10.00
2014-04-30,10.00,10.00,10.00,10.00,000,10.00
2014-04-29,10.00,10.00,10.00,10.00,000,10.00
2014-04-28,10.00,10.00,10.00,10.00,000,10.00
2014-04-25,10.00,10.00,10.00,10.00,000,10.00
2014-04-24,10.00,10.00,10.00,10.00,000,10.00
2014-04-23,10.00,10.00,10.00,10.00,000,10.00
2014-04-22,10.00,10.00,10.00,10.00,000,10.00
2014-04-21,10.09,10.09,9.83,10.00,1400,10.00
2014-04-17,10.00,10.00,10.00,10.00,000,10.00
2014-04-16,10.00,10.00,10.00,10.00,000,10.00
2014-04-15,10.05,10.05,10.00,10.00,1400,10.00
2014-04-14,9.90,9.98,9.90,9.93,1800,9.93
2014-04-11,9.91,9.96,9.90,9.93,2100,9.93
2014-04-10,9.90,9.98,9.89,9.97,5300,9.97
2014-04-09,9.90,10.00,9.90,9.93,2600,9.93
2014-04-08,9.81,10.02,9.81,9.90,11300,9.90
2014-04-07,9.90,9.90,9.90,9.90,000,9.90
2014-04-04,9.89,9.96,9.83,9.90,3900,9.90
2014-04-03,9.83,9.93,9.83,9.87,3900,9.87
2014-04-02,9.82,9.82,9.82,9.82,100,9.82
2014-04-01,10.04,10.04,9.96,9.99,3900,9.99
2014-03-31,9.88,10.00,9.87,10.00,1400,10.00
2014-03-28,10.00,10.00,10.00,10.00,000,10.00
2014-03-27,10.14,10.14,10.00,10.00,11200,10.00
2014-03-26,10.17,10.32,10.15,10.17,4000,10.17
2014-03-25,10.14,10.14,10.14,10.14,100,10.14
2014-03-24,10.01,10.18,10.01,10.10,3200,10.10
2014-03-21,10.00,10.20,10.00,10.02,1400,10.02
2014-03-20,10.10,10.25,10.10,10.12,14900,10.12
2014-03-19,10.00,10.00,10.00,10.00,000,10.00
2014-03-18,10.42,10.42,10.00,10.00,2100,10.00
2014-03-17,10.10,10.11,9.91,10.11,600,10.11
2014-03-14,10.20,10.20,10.10,10.10,600,10.10
2014-03-13,9.96,10.22,9.80,10.18,3200,10.18
2014-03-12,10.20,10.20,10.20,10.20,000,10.20
2014-03-11,10.20,10.20,10.20,10.20,000,10.20
2014-03-10,10.50,10.50,10.20,10.20,300,10.20
2014-03-07,10.04,10.04,10.04,10.04,200,10.04
2014-03-06,10.00,10.00,10.00,10.00,000,10.00
2014-03-05,9.77,10.00,9.68,10.00,2200,10.00
2014-03-04,9.66,10.11,9.66,9.86,1600,9.86
2014-03-03,9.82,10.59,9.65,9.86,14000,9.86
2014-02-28,10.59,10.63,9.70,9.70,6500,9.70
2014-02-27,9.65,10.20,9.55,9.72,21900,9.72
2014-02-26,9.56,9.56,9.56,9.56,400,9.56
2014-02-25,9.72,9.72,9.72,9.72,200,9.72
2014-02-24,9.72,9.72,9.72,9.72,300,9.72
2014-02-21,9.78,9.78,9.59,9.59,1500,9.59
2014-02-20,9.81,9.81,9.81,9.81,000,9.81
2014-02-19,9.81,9.81,9.81,9.81,000,9.81
2014-02-18,9.81,9.81,9.81,9.81,000,9.81
2014-02-14,9.73,9.82,9.70,9.81,2500,9.81
2014-02-13,10.00,10.00,9.71,9.71,900,9.71
2014-02-12,9.70,9.70,9.70,9.70,000,9.70
2014-02-11,9.60,9.70,9.60,9.70,1100,9.70
2014-02-10,10.00,10.00,9.60,9.60,900,9.60
2014-02-07,9.55,9.83,9.55,9.67,5100,9.67
2014-02-06,9.61,9.61,9.61,9.61,000,9.61
2014-02-05,9.57,9.61,9.57,9.61,300,9.61
2014-02-04,9.71,9.71,9.71,9.71,000,9.71
2014-02-03,9.70,9.81,9.62,9.71,2900,9.71
2014-01-31,9.55,9.55,9.55,9.55,100,9.55
2014-01-30,9.70,9.70,9.69,9.69,300,9.69
2014-01-29,9.67,9.67,9.67,9.67,200,9.67
2014-01-28,9.59,9.75,9.56,9.56,2000,9.56
2014-01-27,9.52,9.62,9.46,9.62,600,9.62
2014-01-24,9.46,9.52,9.46,9.52,400,9.52
2014-01-23,9.86,10.00,9.86,9.87,1200,9.87
2014-01-22,10.00,10.00,9.97,9.97,600,9.97
2014-01-21,9.65,9.65,9.65,9.65,000,9.65
2014-01-17,9.65,9.65,9.65,9.65,300,9.65
2014-01-16,10.00,10.00,10.00,10.00,000,10.00
2014-01-15,10.14,10.18,10.00,10.00,2800,10.00
2014-01-14,10.12,10.12,10.12,10.12,000,10.12
2014-01-13,10.12,10.12,10.12,10.12,000,10.12
2014-01-10,10.12,10.12,10.12,10.12,000,10.12
2014-01-09,10.12,10.12,10.12,10.12,000,10.12
2014-01-08,10.16,10.16,10.10,10.12,1100,10.12
2014-01-07,9.61,9.61,9.61,9.61,000,9.61
2014-01-06,10.17,10.17,9.61,9.61,1000,9.61
2014-01-03,10.16,10.16,10.16,10.16,100,10.16
2014-01-02,9.58,9.58,9.58,9.58,000,9.58
